first name,last name,image_href,gender,age,birthdate_x,birthdate_y,Zodiac Name,occupation,hometown,entered,left,status,spouses,children
Frankie,Foster,https://static.wikia.nocookie.net/loveisland/images/b/be/S4_Frankie_Foster.jpg/revision/latest?cb=20180627223836,Male,28,"January 17, 1996",17-01-1996,Capricorn,Business Management StudentFitness Coach,"Cheltenham, England",Day 26,Day 36,Dumped,,
Grace,Wardle,https://static.wikia.nocookie.net/loveisland/images/6/63/S4_Grace_Wardle.jpg/revision/latest?cb=20240117233238,Female,30,"August 20, 1993",20-08-1993,Leo,Hairdresser,"London, England",Day 26,Day 36,Dumped,,
Adam,Collard,https://static.wikia.nocookie.net/loveisland/images/7/75/S8_Adam_Collard.jpg/revision/latest?cb=20220710222545,Male,28,"October 27, 1995",27-10-1995,Scorpio,Personal Trainer,"Newcastle, England",Day 1,Day 32,Dumped,,
Adam,Collard,https://static.wikia.nocookie.net/loveisland/images/7/75/S8_Adam_Collard.jpg/revision/latest?cb=20220710222545,Male,28,"October 27, 1995",27-10-1995,Scorpio,Personal Trainer,"Newcastle, England",Day 1,Day 32,Dumped,,
Alex,Miller,https://static.wikia.nocookie.net/loveisland/images/3/32/S4_Alex_Miller.jpg/revision/latest?cb=20180627221100,Male,34,"February 21, 1990",21-02-1990,Pisces,Structural Glazier,"Essex, England",Day 26,Day 32,Dumped,,
Darylle,Sargeant,https://static.wikia.nocookie.net/loveisland/images/f/fd/S4_Darylle_Sargeant.jpg/revision/latest?cb=20180627222507,Female,30,"September 24, 1993",24-09-1993,Libra,Eyebrow Technician,"Watford, England",Day 26,Day 32,Dumped,,
Ellie,Jones,https://static.wikia.nocookie.net/loveisland/images/6/63/S4_Ellie_Jones.jpg/revision/latest?cb=20180627222508,Female,28,"February 10, 1996",10-02-1996,Aquarius,Customer ServiceOffice Administrator,"Kent, England",Day 26,Day 32,Dumped,,
Charlie,Williams,https://static.wikia.nocookie.net/loveisland/images/5/58/S4_Charlie_Williams.jpg/revision/latest?cb=20180629154657,Female,30,"March 16, 1994",16-03-1994,Pisces,Tanning Shop Assistant,"Bath, England",Day 26,Day 30,Dumped,Luke Daniels,"Ocean (daughter, b. 2020)Reef (son, b. 2023)"
Dean,Overson,https://static.wikia.nocookie.net/loveisland/images/a/ae/S4_Dean_Overson.jpg/revision/latest?cb=20180627221650,Male,30,"June 16, 1993",16-06-1993,Gemini,Car Sales Executive,"Burnley, England",Day 26,Day 30,Dumped,,
Jordan,Adefeyisan,https://static.wikia.nocookie.net/loveisland/images/e/e3/S4_Jordan_Adefeyisan.jpg/revision/latest?cb=20180627222508,Male,28,"September 22, 1995",22-09-1995,Virgo,Model,"Stockport, England",Day 26,Day 30,Dumped,,
Savanna,Darnell,https://static.wikia.nocookie.net/loveisland/images/4/4d/S4_Savanna_Darnell.jpg/revision/latest?cb=20180629152922,Female,28,"October 28, 1995",28-10-1995,Scorpio,SingerDancer,"Sheffield, England",Day 26,Day 30,Dumped,,
Zara,McDermott,https://static.wikia.nocookie.net/loveisland/images/9/94/S4_Zara_McDermott.jpg/revision/latest?cb=20180621211502,Female,27,"December 14, 1996",14-12-1996,Sagittarius,Government Advisor,"Essex, England",Day 15,Day 25,Dumped,,
Eyal,Booker,https://static.wikia.nocookie.net/loveisland/images/a/a7/LIG_Eyal_Booker.jpg/revision/latest?cb=20240103233126,Male,28,"August 2, 1995",02-08-1995,Leo,Model,"London, England",Day 1,Day 25,Dumped,,
Rosie,Williams,https://static.wikia.nocookie.net/loveisland/images/f/ff/S4_Rosie_Williams.jpg/revision/latest?cb=20180621221958,Female,32,"September 26, 1991",26-09-1991,Libra,Solicitor,"South Wales, Wales",Day 4,Day 20,Dumped,,
Charlie,Frederick,https://static.wikia.nocookie.net/loveisland/images/c/cb/S4_Charlie_Frederick.jpg/revision/latest?cb=20180621221955,Male,28,"November 10, 1995",10-11-1995,Scorpio,Model,"Plymouth, England",Day 8,Day 13,Dumped,,
Hayley,Hughes,https://static.wikia.nocookie.net/loveisland/images/c/cd/S4_Hayley_Hughes.jpg/revision/latest?cb=20180621212439,Female,27,"June 27, 1996",27-06-1996,Cancer,Model,"Liverpool, England",Day 1,Day 13,Dumped,,"Cody (son, b. 2023)"
Niall,Aslam,https://static.wikia.nocookie.net/loveisland/images/9/9a/S4_Niall_Aslam.jpg/revision/latest?cb=20240117233308,,28,"July 13, 1995",13-07-1995,Cancer,StudentConstruction Worker,"Coventry, England",Day 1,Day 9,Walked,,
Kendall,Rae-Knight,https://static.wikia.nocookie.net/loveisland/images/0/01/S4_Kendall_Rae-Knight.jpg/revision/latest?cb=20180621214503,Female,32,"January 28, 1992",28-01-1992,Aquarius,Retail Manager,"Blackpool, England",Day 1,Day 6,Dumped,,"Cooper (son, b. 2024)"
Amber,Gill,https://static.wikia.nocookie.net/loveisland/images/c/c5/S5_Amber_Gill.jpg/revision/latest?cb=20240117233056,Female,26,"August 4, 1997[1]",04-08-1997,Leo,Beauty therapist,"Newcastle, England",Day 1,Day 58,Winner,,
Greg,O'Shea,https://static.wikia.nocookie.net/loveisland/images/6/67/S5_Greg_O%27Shea.jpg/revision/latest?cb=20190715212249,Male,29,"March 23, 1995",23-03-1995,Aries,Professional Rugby player,"Limerick, Ireland",Day 43,Day 58,Winner,,
Molly-Mae,Hague,https://static.wikia.nocookie.net/loveisland/images/b/b5/S5_Molly-Mae_Hague.jpg/revision/latest?cb=20190608183649,Female,24,"May 25, 1999",25-05-1999,Gemini,Social media influencer,"Manchester, England",Day 4,Day 58,Runner-Up,Tommy Fury (fiancé),"Bambi (daughter, b. 2023)"
Tommy,Fury,https://static.wikia.nocookie.net/loveisland/images/6/61/S5_Tommy_Fury.jpg/revision/latest?cb=20190528084737,Male,24,"May 7, 1999",07-05-1999,Taurus,Boxer,"Manchester, England",Day 1,Day 58,Runner-Up,,"Bambi (daughter, b. 2023)"
India,Reynolds,https://static.wikia.nocookie.net/loveisland/images/4/4e/S5_India_Reynolds.jpg/revision/latest?cb=20190715212250,Female,33,"December 20, 1990",20-12-1990,Sagittarius,Model,"Reading, England",Day 43,Day 58,3rd Place,,
Ovie,Soko,https://static.wikia.nocookie.net/loveisland/images/9/94/S5_Ovie_Soko.jpg/revision/latest?cb=20190714211947,Male,33,"February 7, 1991",07-02-1991,Aquarius,Professional basketball player,"London, England",Day 26,Day 58,3rd Place,,
Curtis,Pritchard,https://static.wikia.nocookie.net/loveisland/images/0/02/LIG_Curtis_Pritchard.jpg/revision/latest?cb=20240104001758,Male,28,"February 8, 1996",08-02-1996,Aquarius,Ballroom and Latin dancer,"Shropshire, England",Day 1,Day 58,4th Place,,
Maura,Higgins,https://static.wikia.nocookie.net/loveisland/images/c/c1/S5_Maura_Higgins.jpg/revision/latest?cb=20190612202211,Female,33,"November 25, 1990",25-11-1990,Sagittarius,Model and grid girl,"County Longford, Ireland",Day 10,Day 58,4th Place,,
Anton,Danyluk,https://static.wikia.nocookie.net/loveisland/images/1/1b/All_Stars_Anton_Danyluk.jpg/revision/latest?cb=20240118211840,Male,29,"September 6, 1994",06-09-1994,Virgo,Gym owner,"Airdrie, Scotland",Day 1,Day 56,Dumped,,
Belle,Hassan,https://static.wikia.nocookie.net/loveisland/images/2/20/S5_Belle_Hassan.jpg/revision/latest?cb=20190714205034,Female,26,"March 6, 1998",06-03-1998,Pisces,Makeup Artist,"Bromley, England",Day 26,Day 56,Dumped,,
Anna,Vakili,https://static.wikia.nocookie.net/loveisland/images/c/c9/S5_Anna_Vakili.jpg/revision/latest?cb=20190528084715,Female,33,"July 9, 1990",09-07-1990,Cancer,Pharmacist,"London, England",Day 1,Day 52,Dumped,,
Chris,Taylor,https://static.wikia.nocookie.net/loveisland/images/3/39/All_Stars_Chris_Taylor.jpg/revision/latest?cb=20240118211841,Male,33,"July 31, 1990",31-07-1990,Leo,Business Development Manager,"Leicester, England",Day 37,Day 52,Dumped,,
Harley,Brash,https://static.wikia.nocookie.net/loveisland/images/c/c8/S5_Harley_Brash.jpg/revision/latest?cb=20190715212030,Female,25,"October 5, 1998",05-10-1998,Libra,Estate Agent,"Newcastle, England",Day 43,Day 52,Dumped,,
Jordan,Hames,https://static.wikia.nocookie.net/loveisland/images/5/51/S5_Jordan_Hames.jpg/revision/latest?cb=20190618105338,Male,29,"March 6, 1995",06-03-1995,Pisces,Model,"Manchester, England",Day 14,Day 52,Dumped,,
Francesca,Allen,https://static.wikia.nocookie.net/loveisland/images/5/53/S5_Francesca_Allen.jpg/revision/latest?cb=20190714212223,Female,28,"November 7, 1995[1]",07-11-1995,Scorpio,Clothing store manager,"Essex, England",Day 37,Day 49,Dumped,,
Michael,Griffiths,https://static.wikia.nocookie.net/loveisland/images/1/16/S5_Michael_Griffiths.jpg/revision/latest?cb=20190610163117,Male,32,"October 2, 1991",02-10-1991,Libra,Firefighter,"Liverpool, England",Day 1,Day 49,Dumped,,
Joanna,Chimonides,https://static.wikia.nocookie.net/loveisland/images/a/a0/All_Stars_Joanna_Chimonides.jpg/revision/latest?cb=20240131215327,Female,27,"October 15, 1996",15-10-1996,Libra,Recruitment Consultant,"London, England",Day 26,Day 42,Dumped,,
Marvin,Brooks,https://static.wikia.nocookie.net/loveisland/images/3/3c/S5_Marvin_Brooks.jpg/revision/latest?cb=20190714211944,Male,34,"August 6, 1989",06-08-1989,Leo,Personal TrainerEx royal navy officer,"Bournemouth, England",Day 26,Day 39,Dumped,,
Amy,Hart,https://static.wikia.nocookie.net/loveisland/images/7/78/S5_Amy_Hart.jpg/revision/latest?cb=20190801185121,Female,30,"July 19, 1993",19-07-1993,Cancer,Flight Attendant,"Worthing, England",Day 1,Day 37,Walked,,"Stanley (son, b. 2023)"
George,Rains,https://static.wikia.nocookie.net/loveisland/images/6/60/S5_George_Rains.jpg/revision/latest?cb=20190714211938,Male,27,"December 10, 1996",10-12-1996,Sagittarius,ModelBuilder,"Essex, England",Day 26,Day 36,Dumped,,
Lucie,Donlan,https://static.wikia.nocookie.net/loveisland/images/e/e0/S5_Lucie_Donlan.jpg/revision/latest?cb=20190528084729,Female,26,"February 22, 1998",22-02-1998,Pisces,Surfer,"Newquay, England",Day 1,Day 36,Dumped,Luke Mabbott (fiancé),
Danny,Williams,https://static.wikia.nocookie.net/loveisland/images/5/5f/S5_Danny_Williams.jpg/revision/latest?cb=20190610163131,Male,21,"August 5, 1997",05-08-1997,Leo,Model,"Hull, England",Day 6,Day 36,Dumped,,
Jourdan,Riane,https://static.wikia.nocookie.net/loveisland/images/f/f0/S5_Jourdan_Riane.jpg/revision/latest?cb=20190714211939,Female,29,"March 18, 1995",18-03-1995,Pisces,ModelActressInfluencer,"London, England",Day 26,Day 36,Dumped,,
Dan,Rose,https://static.wikia.nocookie.net/loveisland/images/2/24/S5_Dan_Rose.jpg/revision/latest?cb=20190714211930,Male,25,"May 25, 1998",25-05-1998,Gemini,Bathroom salesman,"Nuneaton, England",Day 26,Day 30,Dumped,,
Dennon,Lewis,https://static.wikia.nocookie.net/loveisland/images/d/d5/S5_Dennon_Lewis.jpg/revision/latest?cb=20190714211936,Male,26,"May 9, 1997",09-05-1997,Taurus,Football Player,"Watford, England",Day 26,Day 30,Dumped,,
Lavena,Back,https://static.wikia.nocookie.net/loveisland/images/e/ec/S5_Lavena_Back.jpg/revision/latest?cb=20190714211941,Female,28,"December 15, 1995",15-12-1995,Sagittarius,Business Developer,"Croydon, England",Day 26,Day 30,Dumped,"George (husband, m. 2022)","Sage (daughter, b. 2022)Bodhi (son, b. 2023)"
Maria,Wild,https://static.wikia.nocookie.net/loveisland/images/1/11/S5_Maria_Wild.jpg/revision/latest?cb=20190714211942,Female,26,"May 2, 1997",02-05-1997,Taurus,VIP Host,"Cheltenham, England",Day 26,Day 30,Dumped,,
Nabila,Badda,https://static.wikia.nocookie.net/loveisland/images/7/71/S5_Nabila_Badda.jpg/revision/latest?cb=20190714211945,Female,34,"December 22, 1989",22-12-1989,Capricorn,Hostess,"London, England",Day 26,Day 30,Dumped,,
Stevie,Bradley,https://static.wikia.nocookie.net/loveisland/images/0/06/S5_Stevie_Bradley.jpg/revision/latest?cb=20190714211948,Male,26,"February 21, 1998",21-02-1998,Pisces,Student,Isle of Man,Day 26,Day 30,Dumped,,
Arabella,Chi,https://static.wikia.nocookie.net/loveisland/images/e/eb/All_Stars_Arabella_Chi.jpg/revision/latest?cb=20240120021936,Female,33,"March 19, 1991",19-03-1991,Pisces,Model,"London, England",Day 18,Day 25,Dumped,,
Tom,Walker,https://static.wikia.nocookie.net/loveisland/images/4/43/S5_Tom_Walker.jpg/revision/latest?cb=20190618105645,Male,29,"January 1, 1990",01-01-1990,Capricorn,Model,"Leeds, England",Day 14,Day 25,Dumped,,
Yewande,Biala,https://static.wikia.nocookie.net/loveisland/images/a/a9/S5_Yewande_Biala.jpg/revision/latest?cb=20190528084740,Female,28,"October 26, 1995",26-10-1995,Scorpio,Pharmacist,"Dublin, Ireland",Day 1,Day 22,Dumped,,
Elma,Pazar,https://static.wikia.nocookie.net/loveisland/images/5/50/S5_Elma_Pazar.jpg/revision/latest?cb=20190612202347,Female,31,"July 7, 1992",07-07-1992,Cancer,Eyelash Technician,"Essex, England",Day 10,Day 16,Dumped,,
Joe,Garratt,https://static.wikia.nocookie.net/loveisland/images/f/f5/All_Stars_Joe_Garratt.jpg/revision/latest?cb=20240208221303,Male,27,"August 25, 1996",25-08-1996,Virgo,Catering company owner,"South East London, England",Day 1,Day 16,Dumped,,
Sherif,Lanre,https://static.wikia.nocookie.net/loveisland/images/9/9b/S5_Sherif_Lanre.jpg/revision/latest?cb=20190528084735,Male,25,"April 17, 1999",17-04-1999,Aries,Chef and semiprofessional rugby player,"London, England",Day 1,Day 9,Removed,,
Callum,Macleod,https://static.wikia.nocookie.net/loveisland/images/0/02/S5_Callum_Macleod.jpg/revision/latest?cb=20190528084720,Male,33,"September 1, 1990",01-09-1990,Virgo,Aircraft engineer,"South Wales, Wales",Day 1,Day 5,Dumped,,
Finley,Tapp,https://static.wikia.nocookie.net/loveisland/images/6/6e/S6_Finley_Tapp.jpg/revision/latest?cb=20200116115100,Male,24,"November 9, 1999",09-11-1999,Scorpio,Recruitment consultant and Football Player,"Milton Keynes, England",Day 5,Day 43,Winner,,
Paige,Turley,https://static.wikia.nocookie.net/loveisland/images/2/20/S6_Paige_Turley.jpg/revision/latest?cb=20200107174318,Female,26,"August 14, 1997",14-08-1997,Leo,Singer,"West Lothian, Scotland",Day 1,Day 43,Winner,,
Luke,Trotman,https://static.wikia.nocookie.net/loveisland/images/d/dc/S6_Luke_Trotman.jpg/revision/latest?cb=20200129225614,Male,26,"June 4, 1997",04-06-1997,Gemini,Heating engineer,"Luton, England",Day 12,Day 43,Runner-Up,,
Siannise,Fudge,https://static.wikia.nocookie.net/loveisland/images/8/82/S6_Siannise_Fudge.jpg/revision/latest?cb=20200107174401,Female,29,"July 5, 1994",05-07-1994,Cancer,Beauty consultant,"Bristol, England",Day 1,Day 43,Runner-Up,,
Demi,Jones,https://static.wikia.nocookie.net/loveisland/images/1/1c/All_Stars_Demi_Jones.jpg/revision/latest?cb=20240118211842,Female,25,"July 2, 1998",02-07-1998,Cancer,Style advisor,"Portsmouth, England",Day 16,Day 43,3rd Place,,
Luke,Mabbott,https://static.wikia.nocookie.net/loveisland/images/c/cf/S6_Luke_Mabbott.jpg/revision/latest?cb=20200123221647,Male,28,"May 4, 1995",04-05-1995,Taurus,Heating engineer,"Redcar, England",Day 12,Day 43,3rd Place,Lucie Donlan (fiancée),
Ched,Uzor,https://static.wikia.nocookie.net/loveisland/images/3/3a/S6_Ched_Uzor.jpg/revision/latest?cb=20200202154315,Male,27,"July 27, 1996",27-07-1996,Leo,Scaffolder,"Suffolk, England",Day 21,Day 43,4th Place,,
Jess,Gale,https://static.wikia.nocookie.net/loveisland/images/8/81/All_Stars_Jess_Gale.jpg/revision/latest?cb=20240208221243,Female,24,"May 8, 1999",08-05-1999,Taurus,Students and VIP hostesses,"London, England",Day 1,Day 43,4th Place,,
Mike,Boateng,https://static.wikia.nocookie.net/loveisland/images/8/89/LIG_Mike_Boateng.jpg/revision/latest?cb=20240104001810,Male,28,"August 4, 1995",04-08-1995,Leo,Police officer,"Manchester, England",Day 1,Day 41,Dumped,,
Priscilla,Anyabu,https://static.wikia.nocookie.net/loveisland/images/3/32/S6_Priscilla_Anyabu.jpg/revision/latest?cb=20200202154340,Female,29,"December 7, 1994",07-12-1994,Sagittarius,Model and Operations Manager,"Battersea, England",Day 23,Day 41,Dumped,,
Callum,Jones,https://static.wikia.nocookie.net/loveisland/images/6/66/All_Stars_Callum_Jones.jpg/revision/latest?cb=20240120022214,Male,27,"July 12, 1996",12-07-1996,Cancer,Scaffolder,"Manchester, England",Day 1,Day 38,Dumped,,
Molly,Smith,https://static.wikia.nocookie.net/loveisland/images/8/88/All_Stars_Molly_Smith.jpg/revision/latest?cb=20240120022727,Female,30,"April 25, 1994",25-04-1994,Taurus,Model,"Manchester, England",Day 21,Day 38,Dumped,,
Jamie,Clayton,https://static.wikia.nocookie.net/loveisland/images/e/eb/S6_Jamie_Clayton.jpg/revision/latest?cb=20200212003841,Male,28,1991,01-01-1991,Capricorn,Recruitment consultant,"Edinburgh, Scotland",Day 31,Day 38,Participating,,
Natalia,Zoppa,https://static.wikia.nocookie.net/loveisland/images/e/e6/S6_Natalia_Zoppa.jpg/revision/latest?cb=20200202154339,Female,24,"July 5, 1999",05-07-1999,Cancer,Student and Club Promoter,"Manchester, England",Day 23,Day 38,Dumped,,
Shaughna,Phillips,https://static.wikia.nocookie.net/loveisland/images/b/ba/S6_Shaughna_Phillips.jpg/revision/latest?cb=20200107174339,Female,30,"April 11, 1994",11-04-1994,Aries,Democratic Services Officer,"London, England",Day 1,Day 33,Dumped,,"Lucia (daughter, b. 2023)"
Eva,Zapico,https://static.wikia.nocookie.net/loveisland/images/6/69/S6_Eva_Zapico.jpg/revision/latest?cb=20200202154316,Female,25,"July 23, 1998",23-07-1998,Leo,Recruitment Consultant,"Bromley, England",Day 23,Day 30,Dumped,,
Jordan,Waobikeze,https://static.wikia.nocookie.net/loveisland/images/0/03/S6_Jordan_Waobikeze.jpg/revision/latest?cb=20200202154336,Male,24,1995,01-01-1995,Capricorn,Administrator,"London, England",Day 21,Day 30,Dumped,,
Nas,Majeed,https://static.wikia.nocookie.net/loveisland/images/9/96/S6_Nas_Majeed.jpg/revision/latest?cb=20200107171310,Male,28,"February 24, 1996",24-02-1996,Pisces,Sports science graduate and builder,"London, England",Day 1,Day 30,Dumped,,
Rebecca,Gormley,https://static.wikia.nocookie.net/loveisland/images/5/51/S6_Rebecca_Gormley.jpg/revision/latest?cb=20200121221415,Female,26,"April 18, 1998",18-04-1998,Aries,Parttime model and carer,"Newcastle, England",Day 9,Day 30,Dumped,,
Alexi,Eraclides,https://static.wikia.nocookie.net/loveisland/images/8/8a/S6_Alexi_Eraclides.jpg/revision/latest?cb=20200202154313,Male,27,"May 11, 1996",11-05-1996,Taurus,Butler in the Buff,"Essex, England",Day 23,Day 26,Dumped,,
Biggs,Chris,https://static.wikia.nocookie.net/loveisland/images/d/de/S6_Biggs_Chris.jpg/revision/latest?cb=20200202154313,Male,31,"May 15, 1992",15-05-1992,Taurus,Car Body Repair Specialist,"Glasgow, Scotland",Day 23,Day 26,Dumped,,"Ziyon-Marvin (son, b. 2023)"
George,Day,https://static.wikia.nocookie.net/loveisland/images/d/db/S6_George_Day.jpg/revision/latest?cb=20200202154317,Male,32,"February 8, 1992",08-02-1992,Aquarius,Estate Agent,"Southampton, England",Day 23,Day 26,Dumped,,
Jade,Affleck,https://static.wikia.nocookie.net/loveisland/images/d/d1/S6_Jade_Affleck.jpg/revision/latest?cb=20200202154334,Female,29,"November 28, 1994",28-11-1994,Sagittarius,Sales Professional,"Yarm, England",Day 23,Day 26,Dumped,,
Jamie,McCann,https://static.wikia.nocookie.net/loveisland/images/d/df/S6_Jamie_McCann.jpg/revision/latest?cb=20200202154335,Female,28,"January 3, 1996",03-01-1996,Capricorn,Eyelash Technician,"North Ayrshire, Scotland",Day 23,Day 26,Dumped,,
Josh,Kempton,https://static.wikia.nocookie.net/loveisland/images/5/5f/S6_Josh_Kempton.jpg/revision/latest?cb=20200202154337,Male,25,"November 4, 1998",04-11-1998,Scorpio,Model,"Surrey, England",Day 23,,Day 26,,
Sophie,Piper,https://static.wikia.nocookie.net/loveisland/images/2/28/All_Stars_Sophie_Piper.jpg/revision/latest?cb=20240126181214,Female,25,"October 27, 1998",27-10-1998,Scorpio,Medical PA,"Essex, England",Day 1,Day 22,Dumped,,
Wallace,Wilson,https://static.wikia.nocookie.net/loveisland/images/4/4e/S6_Wallace_Wilson.jpg/revision/latest?cb=20200127234506,Male,28,"November 4, 1995",04-11-1995,Scorpio,Personal Trainer,"Inverness, Scotland",Day 16,Day 22,Dumped,,
Leanne,Amaning,https://static.wikia.nocookie.net/loveisland/images/f/f2/S6_Leanne_Amaning.jpg/revision/latest?cb=20200107174154,Female,26,"June 2, 1997",02-06-1997,Gemini,Customer service advisor,"London, England",Day 1,Day 18,Dumped,,
Connor,Durman,https://static.wikia.nocookie.net/loveisland/images/2/2e/S6_Connor_Durman.jpg/revision/latest?cb=20200107164916,Male,29,"June 11, 1994",11-06-1994,Gemini,Coffee bean salesman,"Brighton, England",Day 1,Day 15,Dumped,,
Connagh,Howard,https://static.wikia.nocookie.net/loveisland/images/6/6e/S6_Connagh_Howard.jpg/revision/latest?cb=20200116115054,Male,32,"April 26, 1992",26-04-1992,Taurus,Model,"Cardiff, Wales",Day 5,Day 13,Dumped,Beth Dunlavey (fiancée),
Eve,Gale,https://static.wikia.nocookie.net/loveisland/images/f/f5/All_Stars_Eve_Gale.jpg/revision/latest?cb=20240208221253,Female,24,"May 8, 1999",08-05-1999,Taurus,Student and VIP hostess,"London, England",Day 1,Day 6,Dumped,,
Ollie,Williams,https://static.wikia.nocookie.net/loveisland/images/c/cf/S6_Ollie_Williams.jpg/revision/latest?cb=20200107171325,Male,28,"January 18, 1996",18-01-1996,Capricorn,Land owner,"Cornwall, England",Day 1,Day 4,Walked,,
Liam,Reardon,https://static.wikia.nocookie.net/loveisland/images/4/4d/S6_Liam_Reardon.jpg/revision/latest?cb=20210701134908,Male,24,"August 18, 1999",18-08-1999,Leo,Bricklayer,"Merthyr Tydfil, Wales",Day 4,Day 58,Winner,,
Millie,Court,https://static.wikia.nocookie.net/loveisland/images/c/cd/S7_Millie_Court.jpg/revision/latest?cb=20210705232338,Female,27,"December 4, 1996",04-12-1996,Sagittarius,Fashion Buyer,"Essex, England",Day 9,Day 58,Winner,,
Chloe,Burrows,https://static.wikia.nocookie.net/loveisland/images/d/d9/S7_Chloe_Burrows.jpg/revision/latest?cb=20210705014555,Female,28,"September 26, 1995",26-09-1995,Libra,Financial Services Marketing Executive,"Bicester, England",Day 1,Day 58,Runner-Up,,
Toby,Aromolaran,https://static.wikia.nocookie.net/loveisland/images/8/8e/All_Stars_Toby_Aromolaran.jpg/revision/latest?cb=20240118211849,Male,25,"March 3, 1999",03-03-1999,Pisces,Football Player,"Essex, England",Day 1,Day 58,Runner-Up,,
Faye,Winter,https://static.wikia.nocookie.net/loveisland/images/0/0a/S7_Faye_Winter.jpg/revision/latest?cb=20210705015959,Female,28,"June 21, 1995",21-06-1995,Cancer,Lettings manager,"Devon, England",Day 1,Day 58,3rd Place,,
Teddy,Soares,https://static.wikia.nocookie.net/loveisland/images/8/86/S7_Teddy_Soares.jpg/revision/latest?cb=20210709180945,Male,26,"April 6, 1995",06-04-1995,Aries,Senior Financial Consultant,"Manchester, England",Day 12,Day 58,3rd Place,,
Kaz,Kamwi,https://static.wikia.nocookie.net/loveisland/images/9/9a/All_Stars_Kaz_Kamwi.jpg/revision/latest?cb=20240118211847,Female,29,"October 27, 1994",27-10-1994,Scorpio,Fashion Blogger,"Essex, England",Day 1,Day 58,4th Place,,
Tyler,Cruickshank,https://static.wikia.nocookie.net/loveisland/images/6/6c/All_Stars_Tyler_Cruickshank.jpg/revision/latest?cb=20240126181554,Male,28,"May 12, 1995",12-05-1995,Taurus,Estate agent,"Croydon, England",Day 23,Day 58,4th Place,,
Jake,Cornish,https://static.wikia.nocookie.net/loveisland/images/9/9a/All_Stars_Jake_Cornish.jpg/revision/latest?cb=20240118211846,Male,27,"April 17, 1997",17-04-1997,Aries,Water Engineer,"Weston-super-Mare, England",Day 1,Day 54,Walked,,
Liberty,Poole,https://static.wikia.nocookie.net/loveisland/images/c/c1/All_Stars_Liberty_Poole.jpg/revision/latest?cb=20240118212058,Female,24,"September 2, 1999",02-09-1999,Virgo,Waitress and Marketing Student,"Birmingham, England",Day 1,Day 54,Walked,,
Aaron,Simpson,https://static.wikia.nocookie.net/loveisland/images/a/a8/S7_Aaron_Simpson.jpg/revision/latest?cb=20210808151826,Male,27,"March 7, 1997",07-03-1997,Pisces,Football Player,"Devon, England",Day 42,Day 52,Dumped,,
Mary,Bedford,https://static.wikia.nocookie.net/loveisland/images/f/f1/S7_Mary_Bedford.jpg/revision/latest?cb=20210727223459,Female,24,"July 14, 1999",14-07-1999,Cancer,Model,"Wakefield, England",Day 29,Day 52,Dumped,,
Brett,Staniland,https://static.wikia.nocookie.net/loveisland/images/3/37/S7_Brett_Staniland.jpg/revision/latest?cb=20210811162705,Male,27,"November 28, 1993",28-11-1993,Sagittarius,PhD Student,"Derbyshire, England",Day 44,Day 50,Dumped,,
Priya,Gopaldas,https://static.wikia.nocookie.net/loveisland/images/f/f8/S7_Priya_Gopaldas.jpg/revision/latest?cb=20210808151353,Female,26,"October 26, 1997",26-10-1997,Scorpio,Medical Student,"London, England",Day 42,Day 50,Dumped,,
Matthew,MacNabb,https://static.wikia.nocookie.net/loveisland/images/c/cb/S7_Matthew_MacNabb.jpg/revision/latest?cb=20210727223546,Male,29,"January 5, 1995",05-01-1995,Capricorn,Strategic Marketing Consultant,"Belfast, Ireland",Day 29,Day 45,Dumped,,
Abigail,Rawlings,https://static.wikia.nocookie.net/loveisland/images/7/7c/S7_Abigail_Rawlings.jpg/revision/latest?cb=20210721222805,Female,30,"February 28, 1994",28-02-1994,Pisces,Tattoo artist,"Bournemouth, England",Day 23,Day 42,Dumped,,
Dale,Mehmet,https://static.wikia.nocookie.net/loveisland/images/3/39/S7_Dale_Mehmet.jpg/revision/latest?cb=20210727222638,Male,27,"November 17, 1996",17-11-1996,Scorpio,Barber,"Glasgow, Scotland",Day 29,Day 42,Dumped,,
Amy,Day,https://static.wikia.nocookie.net/loveisland/images/0/04/S7_Amy_Day.jpg/revision/latest?cb=20210727222050,Female,28,"December 15, 1995",15-12-1995,Sagittarius,Performer,"Surrey, England",Day 29,Day 38,Dumped,,
Clarisse,Juliette,https://static.wikia.nocookie.net/loveisland/images/f/f4/S7_Clarisse_Juliette.jpg/revision/latest?cb=20210727222138,Female,25,"May 2, 1998",02-05-1998,Taurus,Brand OwnerInfluencer,"London, England",Day 29,Day 38,Dumped,,
Hugo,Hammond,https://static.wikia.nocookie.net/loveisland/images/e/e3/S7_Hugo_Hammond.jpg/revision/latest?cb=20210705012927,Male,27,"August 7, 1996",07-08-1996,Leo,PE Teacher,"Hampshire, England",Day 1,Day 38,Dumped,,
Sam,Jackson,https://static.wikia.nocookie.net/loveisland/images/d/de/S7_Sam_Jackson.jpg/revision/latest?cb=20210727223807,Male,26,"March 7, 1998",07-03-1998,Pisces,Maintenance Manager,"Clitheroe, England",Day 29,Day 38,Dumped,,
Harry,Young,https://static.wikia.nocookie.net/loveisland/images/f/f3/S7_Harry_Young.jpg/revision/latest?cb=20210727223202,Male,27,"April 24, 1997",24-04-1997,Taurus,Car Salesman,"Wishaw, Scotland",Day 29,Day 32,Dumped,,
